2022-03-15 14:39:39.1482|DeviceManager.Api.Program|DEBUG|init main 
2022-03-15 14:39:40.1895|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|INFO|User profile is available. Using '/Users/akshayhiranwal/.aspnet/DataProtection-Keys' as key repository; keys will not be encrypted at rest. 
2022-03-15 14:39:42.4028|Microsoft.Hosting.Lifetime|INFO|Now listening on: http://localhost:52217 
2022-03-15 14:39:42.4351|Microsoft.Hosting.Lifetime|INFO|Application started. Press Ctrl+C to shut down. 
2022-03-15 14:39:42.4365|Microsoft.Hosting.Lifetime|INFO|Hosting environment: Development 
2022-03-15 14:39:42.4626|Microsoft.Hosting.Lifetime|INFO|Content root path: /Users/akshayhiranwal/Akshay/Skillikz/LMS/LMSTenantAPI 
2022-03-15 14:39:43.7146|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger   
2022-03-15 14:39:44.1312|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 439.3578ms 301  
2022-03-15 14:39:44.2351|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/index.html   
2022-03-15 14:39:44.5327|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 298.3017ms 200 text/html;charset=utf-8 
2022-03-15 14:39:44.6769|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/swagger-ui.css   
2022-03-15 14:39:44.6769|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/swagger-ui-bundle.js   
2022-03-15 14:39:45.0220|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/swagger-ui-standalone-preset.js   
2022-03-15 14:39:46.1527|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|INFO|Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' 
2022-03-15 14:39:46.1527|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|INFO|Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' 
2022-03-15 14:39:46.1527|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|INFO|Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' 
2022-03-15 14:39:46.1941|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 1174.8708ms 200 application/javascript 
2022-03-15 14:39:46.2007|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 1517.6975ms 200 application/javascript 
2022-03-15 14:39:46.2016|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 1517.7354ms 200 text/css 
2022-03-15 14:39:46.4462|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/v1/swagger.json   
2022-03-15 14:39:46.6830|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/swagger/favicon-32x32.png   
2022-03-15 14:39:46.7227|Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware|INFO|Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A' 
2022-03-15 14:39:46.7252|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 113.064ms 200 image/png 
2022-03-15 14:39:47.4163|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 1043.9192ms 200 application/json;charset=utf-8 
2022-03-15 14:40:30.5673|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request starting HTTP/1.1 GET http://localhost:52217/api/CertificateMaster/GetAll   
2022-03-15 14:40:30.9367|Microsoft.AspNetCore.Authentication.JwtBearer.JwtBearerHandler|INFO|Successfully validated the token. 
2022-03-15 14:40:31.1196|Microsoft.AspNetCore.Authorization.DefaultAuthorizationService|INFO|Authorization was successful. 
2022-03-15 14:40:31.1261|Microsoft.AspNetCore.Routing.EndpointMiddleware|INFO|Executing endpoint 'DeviceManager.Api.Controllers.CertificateMasterController.GetAll (DeviceManager.Api)' 
2022-03-15 14:40:31.2140|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|INFO|Route matched with {action = "GetAll", controller = "CertificateMaster"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] GetAll() on controller DeviceManager.Api.Controllers.CertificateMasterController (DeviceManager.Api). 
2022-03-15 14:45:08.0571|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|INFO|Executed action DeviceManager.Api.Controllers.CertificateMasterController.GetAll (DeviceManager.Api) in 276757.4999ms 
2022-03-15 14:45:08.0690|Microsoft.AspNetCore.Routing.EndpointMiddleware|INFO|Executed endpoint 'DeviceManager.Api.Controllers.CertificateMasterController.GetAll (DeviceManager.Api)' 
2022-03-15 14:45:08.3692|Microsoft.AspNetCore.Server.Kestrel|ERROR|Connection id "0HMG6I6I6L4I1", Request id "0HMG6I6I6L4I1:00000003": An unhandled exception was thrown by the application. Headers are read-only, response has already started.
2022-03-15 14:45:08.4105|Microsoft.AspNetCore.Hosting.Diagnostics|INFO|Request finished in 277846.1416ms 500 application/json 
